CNAPS号,银行名称,地址
************,************,************
"001148313001	","中国人民银行枣强县支行",""
"001149113001	","中国人民银行景县支行",""
"001121013015	","中国人民银行元氏县支行",""
"001121013031	","中国人民银行栾城县支行",""
"001121013120	","中国人民银行井陉县支行",""
"001121013146	","中国人民银行深泽县支行",""
"001121013154	","中国人民银行新乐市支行",""
"001100011002	","中国人民银行营业管理部营业室",""
"001121013103	","中国人民银行藁城市支行",""
"001121013138	","中国人民银行行唐县支行",""
"001121013162	","中国人民银行无极县支行",""
"001121013179	","中国人民银行赞皇县支行",""
"1000	","CCPC",""
"2900	","CCPC",""
"3010	","CCPC",""
"000998800006	","电子联行转换中心",""
"001121013023	","中国人民银行赵县支行",""
"001110012009	","中国人民银行天津分行营业管理部",""
"001121013007	","中国人民银行石家庄中心支行营业部",""
"001121013040	","中国人民银行晋州市支行",""
"001121013058	","中国人民银行正定县支行",""
"001121013066	","中国人民银行鹿泉市支行",""
"001110012017	","中国人民银行天津分行塘沽中心支行营业部",""
"001121013074	","中国人民银行平山县支行",""
"001121013082	","中国人民银行辛集市支行",""
"001121013099	","中国人民银行高邑县支行",""
"001121013111	","中国人民银行灵寿县支行",""
"001124713000	","中国人民银行迁西县支行",""
"001129213009	","中国人民银行涉县支行",""
"001129413008	","中国人民银行馆陶县支行",""
"001131013003	","中国人民银行邢台市中心支行",""
"001132113006	","中国人民银行南宫市支行",""
"001124413007	","中国人民银行滦南县支行",""
"001124813003	","中国人民银行遵化市支行",""
"001126113004	","中国人民银行青龙县支行",""
"001127013000	","中国人民银行邯郸市中心支行",""
"001128913003	","中国人民银行临漳县支行",""
"001126213000	","中国人民银行昌黎县支行",""
"001128613008	","中国人民银行肥乡县支行",""
"001132213005	","中国人民银行沙河市支行",""
"001132413007	","中国人民银行内邱县支行",""
"001132513008	","中国人民银行柏乡县支行",""
"001124613004	","中国人民银行迁安市支行",""
"001128713004	","中国人民银行广平县支行",""
"001129113005	","中国人民银行磁县支行",""
"001129313007	","中国人民银行永年县支行",""
"001132613004	","中国人民银行隆尧县支行",""
"001124913001	","中国人民银行玉田县支行",""
"001128313005	","中国人民银行曲周县支行",""
"001132713000	","中国人民银行任县支行",""
"001132813003	","中国人民银行南和县支行",""
"001132913001	","中国人民银行宁晋县支行",""
"001124513008	","中国人民银行乐亭县支行",""
"001126313003	","中国人民银行抚宁县支行",""
"001129513004	","中国人民银行武安市支行",""
"001132313009	","中国人民银行临城县支行",""
"001133113007	","中国人民银行巨鹿县支行",""
"001124013002	","中国人民银行唐山市中心支行",""
"001126013008	","中国人民银行秦皇岛市中心支行",""
"001126413001	","中国人民银行卢龙县支行",""
"001128213006	","中国人民银行魏县支行",""
"001128413009	","中国人民银行邱县支行",""
"001124313009	","中国人民银行滦县支行",""
"001227421003	","中国人民银行黑山县支行",""
"001227521001	","中国人民银行义县支行",""
"001231021008	","中国人民银行辽阳市中心支行核算中心",""
"001233221009	","中国人民银行西丰县支行",""
"001221021006	","中国人民银行沈阳分行营业管理部",""
"001221021039	","中国人民银行沈阳分行营业管理部法库县支行",""
"001227321000	","中国人民银行北镇市支行",""
"001232021000	","中国人民银行盘锦市中心支行",""
"001233621008	","中国人民银行调兵山市支行",""
"001221021014	","中国人民银行沈阳分行营业管理部新民市支行",""
"001222021008	","中国人民银行大连市中心支行营业部",""
"001223221001	","中国人民银行海城市支行",""
"001224321005	","中国人民银行喀左县支行",""
"001226021005	","中国人民银行丹东市中心支行",""
"001221021022	","中国人民银行沈阳分行营业管理部辽中县支行",""
"001224021001	","中国人民银行抚顺市中心支行",""
"001227021007	","中国人民银行锦州市中心支行",""
"001227621002	","中国人民银行葫芦岛市中心支行",""
"001229021003	","中国人民银行阜新市中心支行",""
"001241022004	","中国人民银行长春中心支行营业部",""
"001241022012	","中国人民银行农安县支行",""
"001242322000	","中国人民银行磐石市支行",""
"001245222006	","中国人民银行辉南县支行",""
"001246222005	","中国人民银行靖宇县支行",""
"001234521004	","中国人民银行建昌县支行",""
"001241022037	","中国人民银行榆树市支行",""
"001242522007	","中国人民银行桦甸市支行",""
"001245522001	","中国人民银行集安市支行",""
"001246122004	","中国人民银行抚松县支行",""
"001234621000	","中国人民银行北票市支行",""
"001242422003	","中国人民银行蛟河市支行",""
"001243022008	","中国人民银行四平市中心支行",""
"001246322001	","中国人民银行长白县支行",""
"001247922004	","中国人民银行乾安县支行",""
"001241022029	","中国人民银行德惠市支行",""
"001243322003	","中国人民银行双辽市支行",""
"001245322004	","中国人民银行柳河县支行",""
"001245422005	","中国人民银行梅河口市支行",""
"001249022003	","中国人民银行延边州中心支行",""
"001242222009	","中国人民银行临江市支行",""
"001247322009	","中国人民银行扶余市支行",""
"001249322006	","中国人民银行敦化市支行",""
"001249622001	","中国人民银行和龙市支行",""
"001249722008	","中国人民银行汪清县支行",""
"001245022007	","中国人民银行通化市中心支行",""
"001244022000	","中国人民银行辽源市中心支行",""
"001246022006	","中国人民银行白山市中心支行",""
"001247022005	","中国人民银行白城市中心支行",""
"001249422004	","中国人民银行珲春市支行",""
"001234421008	","中国人民银行清原县支行",""
"001242022001	","中国人民银行吉林市中心支行",""
"001243422007	","中国人民银行公主岭市支行",""
"001247522003	","中国人民银行长岭县支行",""
"001249222002	","中国人民银行图们市支行",""
"001261023034	","中国人民银行依兰县支行",""
"001261023042	","中国人民银行双城市支行",""
"001265223005	","中国人民银行拜泉县支行",""
"001266023005	","中国人民银行鸡西市中心支行",""
"001267023007	","中国人民银行鹤岗市中心支行",""
"001249822009	","中国人民银行安图县支行",""
"001261023083	","中国人民银行五常市支行",""
"001261023114	","中国人民银行通河县支行",""
"001265123000	","中国人民银行克东县支行",""
"001267123008	","中国人民银行萝北县支行",""
"001261023018	","中国人民银行阿城市支行",""
"001264023001	","中国人民银行齐齐哈尔市中心支行",""
"001264223006	","中国人民银行讷河市支行",""
"001266123009	","中国人民银行鸡东县支行",""
"001268023004	","中国人民银行双鸭山市中心支行",""
"001261023106	","中国人民银行木兰县支行",""
"001261023122	","中国人民银行方正县支行",""
"001125113007	","中国人民银行唐海县支行",""
"001128113002	","中国人民银行大名县支行",""
"001128513007	","中国人民银行鸡泽县支行",""
"001128813000	","中国人民银行成安县支行",""
"001133713002	","中国人民银行临西县支行",""
"001134213000	","中国人民银行清苑县支行",""
"001135513005	","中国人民银行涞源县支行",""
"001135913004	","中国人民银行望都县支行",""
"001136213006	","中国人民银行高阳县支行",""
"001134013008	","中国人民银行保定市中心支行",""
"001135213001	","中国人民银行涿州市支行",""
"001136513007	","中国人民银行容城县支行",""
"001136713004	","中国人民银行曲阳县支行",""
"001136813000	","中国人民银行阜平县支行",""
"001133413000	","中国人民银行平乡县支行",""
"001135413006	","中国人民银行徐水县支行",""
"001135713007	","中国人民银行顺平县支行",""
"001138113009	","中国人民银行宣化支行",""
"001139113008	","中国人民银行张北县支行",""
"001135113003	","中国人民银行定州市支行",""
"001136113002	","中国人民银行涞水县支行",""
"001136913003	","中国人民银行安国市支行",""
"001137113005	","中国人民银行博野县支行",""
"001139213004	","中国人民银行康保县支行",""
"001135313002	","中国人民银行易县支行",""
"001136313005	","中国人民银行安新县支行",""
"001136613008	","中国人民银行高碑店市支行",""
"001137213009	","中国人民银行蠡县支行",""
"001139413003	","中国人民银行尚义县支行",""
"001133313004	","中国人民银行广宗县支行",""
"001133613001	","中国人民银行清河县支行",""
"001134113004	","中国人民银行满城县支行",""
"001138013005	","中国人民银行张家口市中心支行",""
"001139313000	","中国人民银行沽源县支行",""
"001133213008	","中国人民银行新河县支行",""
"001133513003	","中国人民银行威县支行",""
"001135613009	","中国人民银行定兴县支行",""
"001135813008	","中国人民银行唐县支行",""
"001136413009	","中国人民银行雄县支行",""
"001140113006	","中国人民银行涿鹿县支行",""
"001142413001	","中国人民银行滦平县支行",""
"001142713005	","中国人民银行围场满族蒙古族自治县支行",""
"001144113002	","中国人民银行泊头支行",""
"001145113005	","中国人民银行黄骅市支行",""
"001139513001	","中国人民银行蔚县支行",""
"001142113004	","中国人民银行宽城满族自治县支行",""
"001142213000	","中国人民银行兴隆县支行",""
"001142313003	","中国人民银行平泉县支行",""
"001143013000	","中国人民银行沧州市中心支行",""
"001144213006	","中国人民银行任丘市支行",""
"001144613008	","中国人民银行吴桥县支行",""
"001144813000	","中国人民银行南皮县支行",""
"001145313007	","中国人民银行海兴县支行",""
"001146113009	","中国人民银行三河市支行",""
"001139713006	","中国人民银行怀安县支行",""
"001139813005	","中国人民银行万全县支行",""
"001142513002	","中国人民银行丰宁满族自治县支行",""
"001144713004	","中国人民银行东光县支行",""
"001145213009	","中国人民银行孟村回族自治县支行",""
"001144913003	","中国人民银行盐山县支行",""
"001146013005	","中国人民银行廊坊市中心支行",""
"001146213007	","中国人民银行固安县支行",""
"001146513000	","中国人民银行大城县支行",""
"001146413004	","中国人民银行香河县支行",""
"001140313009	","中国人民银行崇礼县支行",""
"001146313008	","中国人民银行永清县支行",""
"001146613003	","中国人民银行文安县支行",""
"001146713001	","中国人民银行霸州市支行",""
"001146813002	","中国人民银行大厂回族自治县支行",""
"001139913009	","中国人民银行怀来县支行",""
"001140213005	","中国人民银行赤城县支行",""
"001141113007	","中国人民银行承德县支行",""
"001144313005	","中国人民银行河间市支行",""
"001144413009	","中国人民银行肃宁县支行",""
"001139613002	","中国人民银行阳原县支行",""
