CNAPS号,银行名称,地址
************,************,************
"103675451722	","中国农业银行股份有限公司开江任市支行",""
"103669263063	","中国农业银行股份有限公司重庆垫江坪山支行",""
"103669364035	","中国农业银行股份有限公司重庆南川西外分理处",""
"103669465017	","中国农业银行股份有限公司重庆丰都支行营业部",""
"103671047024	","中国农业银行股份有限公司宜宾翠屏支行",""
"103671049436	","中国农业银行股份有限公司宜宾南门支行",""
"103677754618	","中国农业银行四川省芦山县支行营业部",""
"103679360599	","中国农业银行茂县羌城分理处",""
"103679760459	","中国农业银行小金新街分理处",""
"103679560268	","中国农业银行九寨沟新城区分理处",""
"103679860326	","中国农业银行黑水芦花分理处",""
"103669465025	","中国农业银行股份有限公司重庆丰都东升分理处",""
"103669465041	","中国农业银行股份有限公司重庆丰都社坛支行",""
"103669566075	","中国农业银行股份有限公司重庆武隆铁佛分理处",""
"103671047065	","中国农业银行股份有限公司宜宾李庄分理处",""
"103671047112	","中国农业银行股份有限公司宜宾南兴分理处",""
"103675552096	","中国农业银行股份有限公司万源河西分理处",""
"103675671531	","中国农业银行股份有限公司通江西门分理处",""
"103675671574	","中国农业银行股份有限公司通江新城分理处",""
"103675870016	","中国农业银行四川省巴中市分行营业部",""
"103675870024	","中国农业银行股份有限公司巴中江北支行",""
"103671247538	","中国农业银行股份有限公司宜宾县支行",""
"103671247587	","中国农业银行股份有限公司宜宾县柏溪分理处",""
"103671347814	","中国农业银行股份有限公司南溪龙腾分理处",""
"103671548172	","中国农业银行股份有限公司长宁县长宁镇分理处",""
"103671648368	","中国农业银行股份有限公司高县支行",""
"103679060358	","中国农业银行马尔康团结街分理处",""
"103680260498	","中国农业银行股份有限公司阿坝县支行营业部",""
"103653001143	","中国农业银行股份有限公司重庆渝中峨岭支行",""
"103653002113	","中国农业银行股份有限公司重庆渝中袁家岗支行",""
"103641016901	","中国农业银行海口秀英支行",""
"103641019603	","中国农业银行股份有限公司海口万国支行",""
"103641020007	","中国农业银行股份有限公司海口蓝天丽城支行",""
"103641022703	","中国农业银行股份有限公司海口沿江三东路支行",""
"103558055899	","中国农业银行股份有限公司常德武陵支行",""
"103558055954	","中国农业银行股份有限公司常德甘露寺支行",""
"103581004877	","中国农业银行股份有限公司广州广中支行",""
"103581004893	","中国农业银行股份有限公司广州宝岗大道支行",""
"103581004916	","中国农业银行股份有限公司广州江南大道中支行",""
"103581005023	","中国农业银行股份有限公司广州瑞宝支行",""
"103581005074	","中国农业银行股份有限公司广州新港中路支行",""
"103557038914	","中国农业银行股份有限公司岳阳车站分理处",""
"103557039216	","中国农业银行岳阳新路口支行",""
"103557039827	","中国农业银行股份有限公司岳阳太阳桥分理处",""
"103557244269	","中国农业银行股份有限公司临湘福桥路分理处",""
"103557341480	","中国农业银行股份有限公司华容北景港分理处",""
"103568279689	","中国农业银行股份有限公司靖州四鼓楼分理处",""
"103569083091	","中国农业银行股份有限公司吉首市支行",""
"103569083139	","中国农业银行股份有限公司吉首红旗门支行",""
"103569083235	","中国农业银行股份有限公司吉首商业城支行",""
