CNAPS号,银行名称,地址
************,************,************
"303331077431	","中国光大银行杭州余杭支行",""
"303331077482	","中国光大银行股份有限公司杭州凤起路支行",""
"305100001491	","中国民生银行股份有限公司北京顺义支行",""
"305100001547	","中国民生银行股份有限公司北京亦庄支行",""
"305100001555	","中国民生银行股份有限公司北京通州支行",""
"305100001602	","中国民生银行股份有限公司北京广渠门支行",""
"305100001627	","中国民生银行股份有限公司北京陶然桥支行",""
"301581000272	","交通银行股份有限公司广州沙河支行",""
"301581000310	","交通银行股份有限公司广州芳村支行",""
"301581000393	","交通银行股份有限公司广州一德支行",""
"301602000058	","交通银行股份有限公司东莞东城支行",""
"301603000148	","交通银行股份有限公司中山小榄菊城支行",""
"303361000500	","中国光大银行合肥阜南路支行",""
"303391000143	","中国光大银行股份有限公司福州金山支行",""
"303405000022	","中国光大银行股份有限公司龙岩新罗支行",""
"303421050040	","中国光大银行股份有限公司南昌北京东路支行",""
"303421050099	","中国光大银行股份有限公司南昌红谷滩支行",""
"305311771025	","中国民生银行股份有限公司盐城东台支行",""
"305314038011	","中国民生银行股份有限公司镇江支行营业部",""
"305331007013	","中国民生银行股份有限公司杭州分行",""
"305331007030	","中国民生银行股份有限公司杭州武林支行",""
"305331007056	","中国民生银行股份有限公司杭州西湖支行",""
"301336007109	","交通银行湖州南浔支行",""
"301337000101	","交通银行绍兴城南支行",""
"301337300161	","交通银行绍兴嵊州支行",""
"301337400404	","交通银行绍兴新昌通明支行",""
"301361000224	","交通银行合肥三牌楼支行",""
"301493000086	","交通银行洛阳分行西关支行",""
"304791041788	","华夏银行股份有限公司西安和平路支行",""
"304791041823	","华夏银行服份有限公司西安朱雀南路支行",""
"304881010718	","华夏银行股份有限公司乌鲁木齐高新区支行",""
"304881041848	","华夏银行乌鲁木齐友好路支行",""
"305301008080	","中国民生银行股份有限公司南京汉中路支行",""
"305301008102	","中国民生银行股份有限公司南京长江路支行",""
"305301008135	","中国民生银行股份有限公司南京莫愁湖支行",""
"304585019786	","华夏银行股份有限公司珠海分行",""
"304611010659	","华夏银行股份有限公司南宁东盟商务区支行",""
"305290002455	","中国民生银行股份有限公司上海南汇支行",""
"305290002498	","中国民生银行股份有限公司上海九亭支行",""
"305290002543	","中国民生银行股份有限公司上海大华支行",""
"305290002578	","中国民生银行股份有限公司上海武宁支行",""
"305290002617	","中国民生银行股份有限公司上海泗泾支行",""
"305521005099	","中国民生银行武汉分行洪山支行",""
"305521005103	","中国民生银行武汉分行水果湖支行",""
"305521005138	","中国民生银行武汉徐东支行",""
"305526061013	","中国民生股份有限公司宜昌分行营业部",""
"305536005220	","中国民生银行股份有限公司咸宁支行",""
"301452001021	","交通银行股份有限公司青岛宁夏路第一支行",""
"301452001101	","交通银行股份有限公司青岛福州路支行",""
"301452001136	","交通银行股份有限公司青岛市北第三支行",""
"301452002016	","交通银行股份有限公司青岛四方支行",""
"301452100011	","交通银行股份有限公司青岛即墨支行",""
"302552040306	","中信银行股份有限公司株洲支行",""
"302554040407	","中信银行股份有限公司衡阳分行",""
"302581044339	","中信银行股份有限公司广州北秀支行",""
"302581044402	","中信银行股份有限公司广州番禺支行",""
"302581044435	","中信银行股份有限公司广州珠江新城支行",""
"304731040778	","华夏银行昆明分行红塔支行",""
"301617000116	","交通银行股份有限公司桂林桂花园支行",""
"303491000183	","中国光大银行郑州中原路支行",""
"303491000214	","中国光大银行郑州交通路支行",""
"303491000360	","中国光大银行郑州大学路支行",""
"303584051946	","中国光大银行股份有限公司深圳光明新区支行",""
"303584078205	","中国光大银行深圳财富支行",""
"305331007232	","中国民生银行股份有限公司杭州富阳支行",""
"305331007281	","中国民生银行股份有限公司杭州桐庐小微企业专营支行",""
"305332019008	","中国民生银行股份有限公司宁波分行",""
"305332019032	","中国民生银行股份有限公司宁波鄞州支行",""
"305332019145	","中国民生银行股份有限公司宁波江北支行",""
"301368028129	","安庆交行华中路支行",""
"301376000026	","交通银行股份有限公司六安皖西大道支行",""
"301378100012	","交通银行股份有限公司巢湖分行营业部",""
"301456000106	","交通银行烟台分行",""
"301456802604	","交通银行烟台分行莱阳支行旌阳路分理处",""
"301581000336	","交通银行股份有限公司广州萝岗支行",""
"301581000481	","交通银行股份有限公司广州兰天支行",""
"301584000137	","交通银行深圳盐田支行",""
"105821030036	","中国建设银行股份有限公司兰州黄河支行",""
"105821030245	","中国建设银行甘肃省分行营业部财会部",""
"105822030024	","中国建设银行甘肃省分行嘉峪关新南支行",""
"203458700012	","中国农业发展银行五莲县支行",""
"203463400013	","中国农业发展银行莱芜市分行",""
"203471400072	","中国农业发展银行莘县支行",""
"203492202235	","中国农业发展银行通许县支行",""
"203493400065	","中国农业发展银行栾川县支行",""
"203666410070	","中国农业发展银行峨眉山市支行",""
"203684017014	","中国农业发展银行凉山彝族自治州分行",""
"203701000024	","中国农业发展银行贵州省分行营业部",""
"203715600030	","中国农业发展银行独山县支行",""
"203715900073	","中国农业发展银行长顺县支行",""
"105731001515	","中国建设银行股份有限公司昆明佳湖支行",""
"105731002010	","中国建设银行云南省分行昆明市北京路支行",""
"105731002077	","中国建设银行股份有限公司昆明世博支行",""
"105731002165	","中国建设银行昆明新迎北区支行",""
"105731002331	","中国建设银行股份有限公司昆明锦绣支行",""
"203468400014	","中国农业发展银行平原县支行",""
"203469400016	","中国农业发展银行庆云县支行",""
"203471700081	","中国农业发展银行冠县支行",""
"105885000017	","中国建设银行股份有限公司昌吉回族自治州分行",""
"105885400011	","中国建设银行股份有限公司玛纳斯支行",""
"105888000055	","中国建设银行股份有限公司库尔勒新城区支行",""
"105888000119	","中国建设银行股份有限公司库尔勒经济技术开发区支行",""
"105891000089	","中国建设银行股份有限公司阿克苏健康路支行",""
"203495506083	","中国农业发展银行襄城县支行",""
"203496500056	","中国农业发展银行内黄县支行",""
