CNAPS号,银行名称,地址
************,************,************
"402110011760	","天津农村商业银行股份有限公司西青荣华道分理处",""
"314301007056	","江苏紫金农村商业银行股份有限公司滨江支行",""
"314301007136	","江苏紫金农村商业银行股份有限公司铜山支行",""
"314301007216	","江苏紫金农村商业银行股份有限公司汤山支行",""
"314301007273	","江苏紫金农村商业银行股份有限公司城镇支行",""
"314301008129	","江苏溧水农村商业银行股份有限公司东屏支行",""
"320373100016	","界首中银富登村镇银行",""
"320376000012	","安徽裕安盛平村镇银行股份有限公司",""
"320377500036	","安徽泾县铜源村镇银行股份有限公司城中支行",""
"320379000018	","池州贵池民生村镇银行股份有限公司",""
"320395929857	","建宁刺桐红村镇银行有限公司",""
"314304222171	","江苏江南农村商业银行股份有限公司金坛市汤庄支行",""
"314304222294	","江苏江南农村商业银行股份有限公司金坛市直溪支行",""
"314304222368	","江苏江南农村商业银行股份有限公司金坛市虹桥支行",""
"314304222472	","江苏江南农村商业银行股份有限公司金坛市金西支行",""
"314304381653	","江苏江南农村商业银行股份有限公司溧阳市振兴支行",""
"314311260089	","江苏滨海农村商业银行股份有限公司通榆支行",""
"314311260177	","江苏滨海农村商业银行股份有限公司八滩支行",""
"314311260208	","江苏滨海农村商业银行股份有限公司淤尖支行",""
"314701013676	","贵阳农村商业银行股份有限公司东山支行",""
"314701013730	","贵阳农村商业银行股份有限公司紫林支行",""
"314701015309	","贵阳农村商业银行股份有限公司粑粑坳支行",""
"314701015333	","贵阳农村商业银行股份有限公司麦架支行",""
"314301002288	","江苏紫金农村商业银行股份有限公司营业部",""
"314301003220	","江苏紫金农村商业银行股份有限公司盘城支行",""
"314301005026	","江苏紫金农村商业银行股份有限公司江浦支行",""
"314301006002	","江苏紫金农村商业银行股份有限公司六合支行",""
"314301006192	","江苏紫金农村商业银行股份有限公司龙池支行",""
"314306300514	","江苏如东农村商业银行股份有限公司燕川支行",""
"314306500042	","江苏海门农村商业银行股份有限公司三和支行",""
"314306500260	","江苏海门农村商业银行股份有限公司余东支行",""
"314306500350	","江苏海门农村商业银行股份有限公司镇中路支行",""
"314306500368	","江苏海门农村商业银行股份有限公司青海支行",""
"319362300235	","徽商银行股份有限公司芜湖南陵支行",""
"316584000021	","浙商银行股份有限公司深圳分行营业部",""
"316651000014	","浙商银行成都分行",""
"316651000055	","浙商银行股份有限公司成都金牛支行",""
"316653000026	","浙商银行股份有限公司重庆分行",""
"316791000024	","浙商银行股份有限公司西安分行营业部",""
"320100010054	","北京顺义银座村镇银行股份有限公司南彩支行",""
"320100010062	","北京顺义银座村镇银行股份有限公司高丽营支行",""
"320100014012	","北京门头沟珠江村镇银行股份有限公司",""
"320100023015	","北京怀柔融兴村镇银行有限责任公司",""
"320110000052	","天津静海新华村镇银行股份有限公司",""
"320495500059	","襄城汇浦村镇银行股份有限公司双庙支行",""
"320496380404	","汤阴常农商村镇银行股份有限公司",""
"320501300002	","武陟射阳村镇银行股份有限公司",""
"320511400018	","遂平恒生村镇银行股份有限公司",""
"320513700259	","南阳村镇银行股份有限公司镇平石佛寺支行",""
"314303500388	","江苏邳州农村商业银行股份有限公司占城支行",""
"314303500423	","江苏邳州农村商业银行股份有限公司徐塘支行",""
"314303500458	","江苏邳州农村商业银行股份有限公司金桥支行",""
"314303600006	","江苏新沂农村商业银行股份有限公司清算中心",""
"314303600071	","江苏新沂农村商业银行股份有限公司窑湾支行",""
"314308000210	","江苏淮安农村商业银行股份有限公司果林支行",""
"314308000381	","江苏淮安农村商业银行股份有限公司渔沟支行",""
"314308000814	","江苏淮安农村商业银行股份有限公司南窑支行",""
"314308300019	","江苏昆山农村商业银行股份有限公司沭阳支行",""
"314308300094	","江苏沭阳农村商业银行刘集支行",""
"314314100292	","江苏丹阳农村商业银行股份有限公司前艾支行",""
"314314100330	","江苏丹阳农村商业银行股份有限公司金冠支行",""
"314314300215	","江苏扬中农村商业银行股份有限公司西来桥支行",""
"314308900240	","江苏金湖农村商业银行股份有限公司前锋支行",""
"314309002137	","江苏民丰农村商业银行股份有限公司埠子支行",""
"314309002188	","江苏民丰农村商业银行股份有限公司顺河支行",""
"314311400359	","江苏射阳农村商业银行合兴分理处",""
"314311500056	","江苏建湖农村商业银行股份有限公司恒济支行",""
"314603001625	","中山农村商业银行股份有限公司坦洲支行",""
"314641003004	","海口农村商业银行股份有限公司资金清算中心",""
"314641003037	","海口农村商业银行股份有限公司三江支行",""
"314641003182	","海口农村商业银行股份有限公司龙泉支行",""
"314641003391	","海口农村商业银行股份有限公司新市支行",""
"319376074300	","徽商银行股份有限公司六安分行",""
"314249500049	","延边农村商业银行股份有限公司朝阳川分理处",""
"314301001033	","江苏紫金农村商业银行股份有限公司红花支行",""
"314301002052	","江苏紫金农村商业银行股份有限公司迈皋桥支行",""
"314304000446	","江苏江南农村商业银行股份有限公司常州市东安支行",""
"314304000526	","江苏江南农村商业银行股份有限公司常州市常武北路支行",""
"314304000735	","江苏江南农村商业银行股份有限公司常州市四季青支行",""
"314304001012	","江苏江南农村商业银行股份有限公司常州市天宁支行",""
"314304001053	","江苏江南农村商业银行股份有限公司常州市城西支行",""
"314311620259	","江苏大丰农村商业银行股份有限公司金墩支行",""
"314311709012	","江苏东台农村商业银行股份有限公司台东支行",""
"314311725012	","江苏东台农村商业银行股份有限公司四灶支行",""
"314311734012	","江苏东台农村商业银行股份有限公司包灶支行",""
"314311741010	","江苏东台农村商业银行股份有限公司唐新路支行",""
"314653000247	","重庆农村商业银行股份有限公司南岸长生支行",""
"314653000386	","重庆农村商业银行股份有限公司渝北支行",""
"314311260056	","江苏滨海农村商业银行股份有限公司正红支行",""
"314312400101	","江苏泰兴农村商业银行股份有限公司十里甸支行",""
"314312400177	","江苏泰兴农村商业银行股份有限公司大生支行",""
