CNAPS号,银行名称,地址
************,************,************
"403100001200	","中国邮政储蓄银行股份有限公司北京西城区三里河支行",""
"403100001355	","中国邮政储蓄银行股份有限公司北京宣武区牛街支行",""
"403100001857	","中国邮政储蓄银行股份有限公司北京丰台区天雅支行",""
"403100002171	","中国邮政储蓄银行股份有限公司北京海淀区双榆树支行",""
"403100002858	","中国邮政储蓄银行股份有限公司北京顺义区杨各庄支行",""
"403308500018	","中国邮政储蓄银行股份有限公司涟水县支行",""
"403308770006	","中国邮政储蓄银行股份有限公司洪泽县支行",""
"403311000422	","中国邮政储蓄银行股份有限公司盐城市分行营业部",""
"403311310002	","中国邮政储蓄银行有限责任公司江苏省阜宁县支行",""
"403311510004	","中国邮政储蓄银行有限责任公司江苏省建湖县支行",""
"403528000566	","中国邮政储蓄银行有限责任公司湖北省襄樊市襄阳区支行",""
"403528202023	","中国邮政储蓄银行有限责任公司襄樊宜城市西街支行",""
"403552000148	","中国邮政储蓄银行湖南省株洲市天元区滨江支行",""
"403552100413	","中国邮政储蓄银行有限责任公司湖南省株洲市株洲县支行",""
"403552500383	","中国邮政储蓄银行有限责任公司湖南省株洲市醴陵市江源支行",""
"403586900047	","中国邮政储蓄银行股份有限公司潮州市枫溪支行",""
"403587200010	","中国邮政储蓄银行有限责任公司潮安县支行",""
"403587210179	","中国邮政储蓄银行股份有限公司潮安县凤塘安揭路支行",""
"403588010016	","中国邮政储蓄银行股份有限公司佛山市宝南支行",""
"403588020038	","中国邮政储蓄银行股份有限公司佛山市桂城石石肯支行",""
"403602000680	","中国邮政储蓄银行股份有限公司东莞市虎门支行",""
"403602000727	","中国邮政储蓄银行股份有限公司东莞市长安长中支行",""
"402795602302	","永寿县农村信用合作联社",""
"402795602409	","永寿县农村信用合作联社豆家信用社",""
"402795703471	","陕西彬县农村商业银行股份有限公司南大街支行",""
"402795703535	","陕西彬县农村商业银行股份有限公司东环路支行",""
"402803000159	","商洛市商州区农村信用合作联社板桥信用社",""
"402803000183	","商洛市商州区农村信用合作联社松树咀信用社",""
"402803200827	","洛南县农村信用合作联社保安信用社眉底分社",""
"402803200950	","洛南县农村信用合作联社河滨路分社",""
"402803301050	","丹凤县农村信用合作联社铁峪铺信用社",""
"402807303284	","陕西子洲农村商业银行股份有限公司砖庙分理处",""
"402807303292	","陕西子洲农村商业银行股份有限公司三川口分理处",""
"402807303321	","陕西子洲农村商业银行股份有限公司裴家湾分理处",""
"402807303356	","陕西子洲农村商业银行股份有限公司老君殿支行",""
"402821001026	","兰州市城关区农村信用合作联社河北信用社",""
"402823121015	","永昌县农村信用合作联社胜利分社",""
"402823121111	","永昌县农村信用合作联社三沟分社",""
"402823121120	","永昌县农村信用合作联社陈仓分社",""
"402823121200	","永昌县农村信用合作联社城区信用社",""
"402823180221	","永昌县农村信用合作联社刘克庄分社",""
"402826303341	","甘肃敦煌农村合作银行飞天分理处",""
"402826405025	","金塔县农村信用合作联社西街分社",""
"402826405068	","金塔县农村信用合作联社五星分社",""
"402826405084	","金塔县农村信用合作联社东坝信用社",""
"402826405121	","金塔县农村信用合作联社团结分社",""
"402803301033	","丹凤县农村信用合作联社土门信用社",""
"402803401325	","陕西商南农村商业银行股份有限公司梁家湾支行",""
"402803401413	","陕西商南农村商业银行股份有限公司广场分理处",""
"402803500467	","山阳县农村信用合作联社城区信用社伍竹分社",""
"403532001070	","中国邮政储蓄银行有限责任公司湖北省荆门市子陵镇支行",""
"402797000279	","渭南市临渭区农村信用合作联社官底信用社",""
"402804701370	","陕西吴起农村合作银行胜利山分理处",""
"402804801477	","陕西甘泉农村合作银行道镇支行",""
"402804901550	","陕西富县农村合作银行北道德支行",""
"402804901630	","陕西富县农村合作银行交道支行",""
"402805101685	","洛川县农村信用合作联社府北街分社",""
"402827402147	","甘肃临泽农村合作银行平川支行双泉分理处",""
"402827402171	","甘肃临泽农村合作银行沙河支行西关分理处",""
"402827505124	","甘肃高台农村合作银行罗城支行",""
"402827505157	","甘肃高台农村合作银行城区分理处",""
"402827603029	","山丹县农村信用合作联社清泉信用社",""
"402793000706	","陕西宝鸡渭滨农村商业银行股份有限公司晁峪支行",""
"402800104608	","留坝县农村信用合作联社城关信用社",""
"402800204765	","佛坪县农村信用合作联社袁家庄信用社",""
"402800204804	","佛坪县农村信用合作联社西岔河信用社",""
"402801000114	","安康市汉滨区农村信用合作联社迎风分社",""
"402801000333	","安康市汉滨区农村信用合作联社大竹园信用社",""
"402804801444	","陕西甘泉农村合作银行石门支行",""
"402804901584	","陕西富县农村合作银行羊泉支行",""
"402806000429	","陕西榆林榆阳农村商业银行股份有限公司东郊支行",""
"402806200526	","陕西神木农村商业银行股份有限公司开发区分理处",""
"402806200559	","陕西神木农村商业银行股份有限公司北关分理处",""
"402825207155	","秦安县农村信用合作联社兴国信用社",""
"402825207180	","秦安县农村信用合作联社王尹信用社",""
"402825207202	","秦安县农村信用合作联社五营信用社",""
"402825207227	","秦安县农村信用合作联社陇城信用社",""
"402825207235	","秦安县农村信用合作联社成纪信用社",""
"402797000535	","渭南市临渭区农村信用合作联社盈田分社",""
"402797200565	","韩城市农村信用合作联社芝阳信用社",""
"402797200696	","韩城市农村信用合作联社太史大街分社",""
"402797200811	","韩城市农村信用合作联社薛峰信用社",""
"402797200895	","韩城市农村信用合作联社王峰信用社",""
"402821008500	","永登县农村信用合作联社中堡分社",""
"402821008698	","永登县农村信用合作联社敦煌路信用社",""
"402821064450	","甘肃榆中农村合作银行东方红广场支行",""
"402822001108	","甘肃嘉峪关农村合作银行同乐支行",""
"402823001005	","金昌市金川区农村信用合作联社",""
"402826303042	","甘肃敦煌农村合作银行南门分理处",""
"402826303155	","甘肃敦煌农村合作银行吕家堡分理处",""
"402826303180	","甘肃敦煌农村合作银行东沙门分理处",""
"402799605024	","勉县农村信用合作联社天荡路信用社",""
"403433000012	","中国邮政储蓄银行股份有限公司上饶市分行",""
"403433400024	","中国邮政储蓄银行有限责任公司上饶玉山县新建路支行",""
"403433600018	","中国邮政储蓄银行股份有限公司横峰县支行",""
"403456000767	","中国邮政储蓄银行股份有限公司烟台市高新区支行",""
"403458000045	","中国邮政储蓄银行股份有限公司潍坊市潍州路支行",""
"403552601032	","中国邮政储蓄银行有限责任公司湖南省株洲市炎陵县支行",""
"403553000184	","中国邮政储蓄银行有限责任公司湖南省湘潭市岳塘区板塘铺支行",""
"403553000213	","中国邮政储蓄银行有限责任公司湖南省湘潭市雨湖区江麓支行",""
"403553300048	","中国邮政储蓄银行有限责任公司湖南省韶山市支行",""
"403553300933	","中国邮政储蓄银行有限责任公司湖南省韶山市支行",""
"403585000281	","中国邮政储蓄银行股份有限公司珠海市夏湾支行",""
"403585099007	","中国邮政储蓄银行有限责任公司珠海分行（不对外营业）",""
"403586000195	","中国邮政储蓄银行股份有限公司汕头市鸥汀支行",""
"403586097003	","中国邮政储蓄银行股份有限公司汕头市潮阳支行",""
"403586500117	","中国邮政储蓄银行股份有限公司揭阳市进贤支行",""
"403521000573	","中国邮政储蓄银行有限责任公司湖北省武汉市武昌区支行",""
"403521001582	","中国邮政储蓄银行有限责任公司湖北省武汉市新洲区支行",""
"403521001718	","中国邮政储蓄银行有限责任公司湖北省武汉市新洲区支行",""
"403521001927	","中国邮政储蓄银行武汉市青年路支行",""
"403523000219	","中国邮政储蓄银行有限责任公司湖北省十堰市东岳路支行",""
"403498812108	","中国邮政储蓄银行股份有限公司辉县市城北街支行",""
"403501405027	","中国邮政储蓄银行股份有限公司沁阳市怀府中路支行",""
"403502500192	","中国邮政储蓄银行股份有限公司濮阳县红旗路支行",""
"403503100042	","中国邮政储蓄银行股份有限公司长葛市建设路支行",""
"403506000151	","中国邮政储蓄银行股份有限公司商丘市分行中心支行",""
"402883200233	","鄯善县农村信用合作联社老城信用社",""
"402901300147	","乌苏市农村信用合作联社繁荣信用社",""
"402901300171	","乌苏市农村信用合作联社头台信用社",""
"402901300260	","乌苏市农村信用合作联社天北新区信用社",""
"403194700011	","中国邮政储蓄银行股份有限公司赤峰市分行喀喇沁旗支行",""
"403199361507	","中国邮政储蓄银行股份有限公司科左中旗保康镇科尔沁大街支行",""
"403207500010	","中国邮政储蓄银行股份有限公司乌拉特中旗海镇街支行",""
"403207600043	","中国邮政储蓄银行股份有限公司乌拉特后旗巴音宝力格路支行",""
"403221006036	","中国邮政储蓄银行有限责任公司沈阳市沈辽路支行",""
"403333700051	","中国邮政储蓄银行股份有限公司文成县支行",""
"403333900012	","中国邮政储蓄银行股份有限公司瑞安市支行",""
"403333900211	","中国邮政储蓄银行股份有限公司瑞安市仙降镇支行",""
"403528303247	","中国邮政储蓄银行有限责任公司襄樊南漳县水镜路支行",""
"403528505016	","中国邮政储蓄银行有限责任公司湖北省襄樊市保康县支行",""
"403528602046	","中国邮政储蓄银行湖北省随州市厉山镇支行",""
"403562282005	","中国邮政储蓄银行有限责任公司湖南省冷水江市支行",""
"403562410214	","中国邮政储蓄银行有限责任公司双峰县支行",""
"402826102182	","玉门市农村信用合作联社清泉信用社",""
"402826102174	","玉门市农村信用合作联社小金湾分社",""
"402826112341	","玉门市农村信用合作联社柳湖信用社",""
"402826300340	","甘肃敦煌农村合作银行阳关分理处",""
"402801903710	","陕西旬阳农村商业银行股份有限公司洞口分理处",""
"402802103492	","陕西白河农村商业银行股份有限公司卡子支行",""
"402802103636	","陕西白河农村商业银行股份有限公司冷水支行",""
"402802103685	","陕西白河农村商业银行股份有限公司河街分理处",""
"402803000271	","商洛市商州区农村信用合作联社陈塬信用社",""
"402826102115	","玉门市农村信用合作联社官庄子分社",""
"402826303122	","甘肃敦煌农村合作银行郭家堡支行",""
"402826303219	","甘肃敦煌农村合作银行肃州支行",""
"402826303294	","甘肃敦煌农村合作银行阳关支行",""
"402826303333	","甘肃敦煌农村合作银行金龙分理处",""
"402828331700	","古浪县农村信用合作联社城关信用社",""
"402828440328	","天祝县藏族自治县农村信用合作联社天堂分社",""
"402828440416	","天祝县藏族自治县农村信用合作联社松山分社",""
"402828440561	","天祝县藏族自治县农村信用合作联社华藏分社",""
